,data_type,garnet_formula
350,mixed,TbNa2Nb2Ga3O12
351,mixed,TbNa2Nb2Ga3O12
352,mixed,TbNa2Nb2Ga3O12
353,mixed,TbNa2Nb2Ga3O12
354,mixed,TbNa2Nb2Ga3O12
355,mixed,TbNa2Nb2Ga3O12
356,mixed,TbNa2Nb2Ga3O12
357,mixed,TbNa2Nb2Ga3O12
358,mixed,TbNa2Nb2Ga3O12
359,mixed,TbNa2Nb2Ga3O12
360,mixed,ZrY2Li2Si3O12
361,mixed,ZrY2Li2Si3O12
362,mixed,ZrY2Li2Si3O12
363,mixed,ZrY2Li2Si3O12
364,mixed,ZrY2Li2Si3O12
365,mixed,ZrY2Li2Si3O12
366,mixed,ZrY2Li2Si3O12
367,mixed,ZrY2Li2Si3O12
368,mixed,ZrY2Li2Si3O12
369,mixed,ZrY2Li2Si3O12
370,mixed,ZrY2Li2Si3O12
371,mixed,ZrY2Li2Si3O12
372,mixed,ZrY2Li2Si3O12
373,mixed,ZrY2Li2Si3O12
374,mixed,ZrY2Li2Si3O12
375,mixed,ZrY2Li2Si3O12
376,mixed,ZrY2Li2Si3O12
377,mixed,ZrY2Li2Si3O12
378,mixed,ZrY2Li2Si3O12
379,mixed,ZrY2Li2Si3O12
380,mixed,TbNa2Mg2P3O12
381,mixed,TbNa2Mg2P3O12
382,mixed,TbNa2Mg2P3O12
383,mixed,TbNa2Mg2P3O12
384,mixed,TbNa2Mg2P3O12
385,mixed,TbNa2Mg2P3O12
386,mixed,TbNa2Mg2P3O12
387,mixed,TbNa2Mg2P3O12
388,mixed,TbNa2Mg2P3O12
389,mixed,TbNa2Mg2P3O12
390,mixed,TbNa2Mg2P3O12
391,mixed,TbNa2Mg2P3O12
392,mixed,TbNa2Mg2P3O12
393,mixed,TbNa2Mg2P3O12
394,mixed,TbNa2Mg2P3O12
395,mixed,TbNa2Mg2P3O12
396,mixed,TbNa2Mg2P3O12
397,mixed,TbNa2Mg2P3O12
398,mixed,TbNa2Mg2P3O12
399,mixed,TbNa2Mg2P3O12
400,mixed,PrBi2Al2Al3O12
401,mixed,PrBi2Al2Al3O12
402,mixed,PrBi2Al2Al3O12
403,mixed,PrBi2Al2Al3O12
404,mixed,PrBi2Al2Al3O12
405,mixed,PrBi2Al2Al3O12
406,mixed,PrBi2Al2Al3O12
407,mixed,PrBi2Al2Al3O12
408,mixed,PrBi2Al2Al3O12
409,mixed,PrBi2Al2Al3O12
410,mixed,PrBi2Al2Al3O12
411,mixed,PrBi2Al2Al3O12
412,mixed,PrBi2Al2Al3O12
413,mixed,PrBi2Al2Al3O12
414,mixed,PrBi2Al2Al3O12
415,mixed,PrBi2Al2Al3O12
416,mixed,PrBi2Al2Al3O12
417,mixed,PrBi2Al2Al3O12
418,mixed,PrBi2Al2Al3O12
419,mixed,PrBi2Al2Al3O12
420,mixed,LuCa2Li2P3O12
421,mixed,LuCa2Li2P3O12
422,mixed,LuCa2Li2P3O12
423,mixed,LuCa2Li2P3O12
424,mixed,LuCa2Li2P3O12
425,mixed,LuCa2Li2P3O12
426,mixed,LuCa2Li2P3O12
427,mixed,LuCa2Li2P3O12
428,mixed,LuCa2Li2P3O12
429,mixed,LuCa2Li2P3O12
430,mixed,LuCa2Li2P3O12
431,mixed,LuCa2Li2P3O12
432,mixed,LuCa2Li2P3O12
433,mixed,LuCa2Li2P3O12
434,mixed,LuCa2Li2P3O12
435,mixed,LuCa2Li2P3O12
436,mixed,LuCa2Li2P3O12
